Kunden-ID,Region,Typ,,,Hilfszahl-Region,Hilfszahl-Typ,
41,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
42,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
43,Europa,Geschäftskunde,,,4,22,Geschäftskunde
44,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
45,Europa,Privatkunde,,,5,23,Privatkunde
46,Europa,Geschäftskunde,,,4,21,Geschäftskunde
47,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
48,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
49,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
50,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
51,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
52,Europa,Privatkunde,,,1,23,Privatkunde
53,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
54,Asien,Geschäftskunde,,,13,23,Privatkunde
55,Europa,Geschäftskunde,,,1,22,Geschäftskunde
56,Europa,Geschäftskunde,,,1,21,Geschäftskunde
57,Europa,Geschäftskunde,,,5,21,Geschäftskunde
58,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
59,Asien,Geschäftskunde,,,12,21,Geschäftskunde
60,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
61,Europa,Geschäftskunde,,,5,22,Geschäftskunde
62,Europa,Geschäftskunde,,,2,22,Geschäftskunde
63,Europa,Geschäftskunde,,,5,21,Geschäftskunde
64,Europa,Privatkunde,,,6,23,Privatkunde
65,Europa,Geschäftskunde,,,5,22,Geschäftskunde
66,Europa,Geschäftskunde,,,3,21,Geschäftskunde
67,Europa,Geschäftskunde,,,3,21,Geschäftskunde
68,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
69,Asien,Geschäftskunde,,,13,23,Privatkunde
70,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
71,Asien,Geschäftskunde,,,13,22,Geschäftskunde
72,Nordamerika,Geschäftskunde,,,9,23,Privatkunde
73,Europa,Geschäftskunde,,,6,21,Geschäftskunde
74,Asien,Geschäftskunde,,,12,22,Geschäftskunde
75,Europa,Privatkunde,,,5,23,Privatkunde
76,Europa,Geschäftskunde,,,4,22,Geschäftskunde
77,Asien,Geschäftskunde,,,13,22,Geschäftskunde
78,Europa,Privatkunde,,,3,23,Privatkunde
79,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
80,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
81,Europa,Privatkunde,,,6,23,Privatkunde
82,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
83,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
84,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
85,Europa,Geschäftskunde,,,2,21,Geschäftskunde
86,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
87,Asien,Geschäftskunde,,,13,22,Geschäftskunde
88,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
89,Asien,Geschäftskunde,,,13,21,Geschäftskunde
90,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
91,Europa,Privatkunde,,,5,23,Privatkunde
92,Europa,Privatkunde,,,3,23,Privatkunde
93,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
94,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
95,Asien,Geschäftskunde,,,13,23,Privatkunde
96,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
97,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
98,Europa,Geschäftskunde,,,6,21,Geschäftskunde
99,Europa,Privatkunde,,,3,23,Privatkunde
100,Europa,Privatkunde,,,4,23,Privatkunde
101,Europa,Privatkunde,,,2,23,Privatkunde
102,Asien,Geschäftskunde,,,13,21,Geschäftskunde
103,Europa,Geschäftskunde,,,5,22,Geschäftskunde
104,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
105,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
106,Europa,Geschäftskunde,,,1,21,Geschäftskunde
107,Europa,Geschäftskunde,,,4,22,Geschäftskunde
108,Europa,Privatkunde,,,1,23,Privatkunde
109,Europa,Privatkunde,,,5,23,Privatkunde
110,Europa,Privatkunde,,,5,23,Privatkunde
111,Europa,Geschäftskunde,,,4,22,Geschäftskunde
112,Asien,Geschäftskunde,,,13,21,Geschäftskunde
113,Nordamerika,Geschäftskunde,,,9,23,Privatkunde
114,Europa,Geschäftskunde,,,5,22,Geschäftskunde
115,Europa,Geschäftskunde,,,4,22,Geschäftskunde
116,Asien,Geschäftskunde,,,12,21,Geschäftskunde
117,Nordamerika,Geschäftskunde,,,9,23,Privatkunde
118,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
119,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
120,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
121,Asien,Geschäftskunde,,,12,21,Geschäftskunde
122,Europa,Geschäftskunde,,,5,22,Geschäftskunde
123,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
124,Europa,Privatkunde,,,5,23,Privatkunde
125,Europa,Geschäftskunde,,,3,21,Geschäftskunde
126,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
127,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
128,Europa,Privatkunde,,,1,23,Privatkunde
129,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
130,Europa,Geschäftskunde,,,4,21,Geschäftskunde
131,Europa,Privatkunde,,,1,23,Privatkunde
132,Europa,Geschäftskunde,,,3,22,Geschäftskunde
133,Europa,Geschäftskunde,,,5,21,Geschäftskunde
134,Europa,Geschäftskunde,,,2,22,Geschäftskunde
135,Europa,Geschäftskunde,,,3,21,Geschäftskunde
136,Europa,Privatkunde,,,3,23,Privatkunde
137,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
138,Europa,Geschäftskunde,,,2,21,Geschäftskunde
139,Europa,Geschäftskunde,,,1,22,Geschäftskunde
140,Europa,Geschäftskunde,,,5,22,Geschäftskunde
141,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
142,Europa,Geschäftskunde,,,1,21,Geschäftskunde
143,Europa,Geschäftskunde,,,5,22,Geschäftskunde
144,Europa,Geschäftskunde,,,4,22,Geschäftskunde
145,Asien,Geschäftskunde,,,13,23,Privatkunde
146,Europa,Geschäftskunde,,,6,22,Geschäftskunde
147,Europa,Geschäftskunde,,,1,21,Geschäftskunde
148,Europa,Geschäftskunde,,,1,21,Geschäftskunde
149,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
150,Europa,Geschäftskunde,,,3,21,Geschäftskunde
151,Asien,Geschäftskunde,,,12,23,Privatkunde
152,Europa,Geschäftskunde,,,1,22,Geschäftskunde
153,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
154,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
155,Asien,Geschäftskunde,,,13,21,Geschäftskunde
156,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
157,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
158,Europa,Geschäftskunde,,,2,22,Geschäftskunde
159,Europa,Geschäftskunde,,,4,21,Geschäftskunde
160,Asien,Geschäftskunde,,,13,22,Geschäftskunde
161,Europa,Geschäftskunde,,,2,22,Geschäftskunde
162,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
163,Asien,Geschäftskunde,,,13,23,Privatkunde
164,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
165,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
166,Afrika,Geschäftskunde,,,11,23,Privatkunde
167,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
168,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
169,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
170,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
171,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
172,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
173,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
174,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
175,Asien,Geschäftskunde,,,12,22,Geschäftskunde
176,Asien,Geschäftskunde,,,13,23,Privatkunde
177,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
178,Europa,Privatkunde,,,5,23,Privatkunde
179,Asien,Geschäftskunde,,,12,21,Geschäftskunde
180,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
181,Europa,Geschäftskunde,,,3,22,Geschäftskunde
182,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
183,Europa,Geschäftskunde,,,5,22,Geschäftskunde
184,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
185,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
186,Europa,Privatkunde,,,6,23,Privatkunde
187,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
188,Asien,Geschäftskunde,,,13,22,Geschäftskunde
189,Asien,Geschäftskunde,,,13,21,Geschäftskunde
190,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
191,Asien,Geschäftskunde,,,13,23,Privatkunde
192,Europa,Privatkunde,,,1,23,Privatkunde
193,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
194,Europa,Privatkunde,,,5,23,Privatkunde
195,Europa,Geschäftskunde,,,4,21,Geschäftskunde
196,Asien,Geschäftskunde,,,13,23,Privatkunde
197,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
198,Asien,Geschäftskunde,,,13,21,Geschäftskunde
199,Nordamerika,Geschäftskunde,,,9,23,Privatkunde
200,Europa,Geschäftskunde,,,2,21,Geschäftskunde
201,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
202,Europa,Privatkunde,,,5,23,Privatkunde
203,Europa,Geschäftskunde,,,2,21,Geschäftskunde
204,Asien,Geschäftskunde,,,12,23,Privatkunde
205,Europa,Privatkunde,,,4,23,Privatkunde
206,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
207,Europa,Geschäftskunde,,,4,21,Geschäftskunde
208,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
209,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
210,Europa,Geschäftskunde,,,5,21,Geschäftskunde
211,Europa,Geschäftskunde,,,2,22,Geschäftskunde
212,Europa,Geschäftskunde,,,3,22,Geschäftskunde
213,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
214,Europa,Geschäftskunde,,,6,22,Geschäftskunde
215,Asien,Geschäftskunde,,,13,23,Privatkunde
216,Asien,Geschäftskunde,,,12,22,Geschäftskunde
217,Europa,Privatkunde,,,6,23,Privatkunde
218,Europa,Geschäftskunde,,,2,22,Geschäftskunde
219,Europa,Geschäftskunde,,,6,21,Geschäftskunde
220,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
221,Europa,Geschäftskunde,,,1,21,Geschäftskunde
222,Europa,Geschäftskunde,,,5,22,Geschäftskunde
223,Europa,Privatkunde,,,1,23,Privatkunde
224,Europa,Geschäftskunde,,,5,22,Geschäftskunde
225,Europa,Geschäftskunde,,,4,22,Geschäftskunde
226,Europa,Privatkunde,,,4,23,Privatkunde
227,Europa,Geschäftskunde,,,1,21,Geschäftskunde
228,Asien,Geschäftskunde,,,12,23,Privatkunde
229,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
230,Asien,Geschäftskunde,,,12,23,Privatkunde
231,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
232,Asien,Geschäftskunde,,,12,21,Geschäftskunde
233,Asien,Geschäftskunde,,,13,21,Geschäftskunde
234,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
235,Europa,Geschäftskunde,,,3,21,Geschäftskunde
236,Europa,Geschäftskunde,,,1,22,Geschäftskunde
237,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
238,Europa,Geschäftskunde,,,4,21,Geschäftskunde
239,Afrika,Geschäftskunde,,,11,23,Privatkunde
240,Asien,Geschäftskunde,,,12,23,Privatkunde
241,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
242,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
243,Europa,Privatkunde,,,6,23,Privatkunde
244,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
245,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
246,Asien,Geschäftskunde,,,13,21,Geschäftskunde
247,Europa,Geschäftskunde,,,1,22,Geschäftskunde
248,Europa,Geschäftskunde,,,1,22,Geschäftskunde
249,Europa,Geschäftskunde,,,4,21,Geschäftskunde
250,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
251,Europa,Privatkunde,,,3,23,Privatkunde
252,Europa,Geschäftskunde,,,3,21,Geschäftskunde
253,Afrika,Geschäftskunde,,,11,23,Privatkunde
254,Asien,Geschäftskunde,,,12,23,Privatkunde
255,Europa,Geschäftskunde,,,2,21,Geschäftskunde
256,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
257,Europa,Privatkunde,,,4,23,Privatkunde
258,Europa,Geschäftskunde,,,2,21,Geschäftskunde
259,Europa,Geschäftskunde,,,1,22,Geschäftskunde
260,Europa,Geschäftskunde,,,2,21,Geschäftskunde
261,Europa,Privatkunde,,,4,23,Privatkunde
262,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
263,Europa,Geschäftskunde,,,3,21,Geschäftskunde
264,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
265,Europa,Geschäftskunde,,,4,21,Geschäftskunde
266,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
267,Asien,Geschäftskunde,,,12,23,Privatkunde
268,Europa,Geschäftskunde,,,1,21,Geschäftskunde
269,Europa,Geschäftskunde,,,4,21,Geschäftskunde
270,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
271,Asien,Geschäftskunde,,,13,23,Privatkunde
272,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
273,Europa,Privatkunde,,,2,23,Privatkunde
274,Europa,Geschäftskunde,,,4,21,Geschäftskunde
275,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
276,Asien,Geschäftskunde,,,12,21,Geschäftskunde
277,Europa,Privatkunde,,,2,23,Privatkunde
278,Asien,Geschäftskunde,,,12,22,Geschäftskunde
279,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
280,Asien,Geschäftskunde,,,12,23,Privatkunde
281,Europa,Geschäftskunde,,,1,22,Geschäftskunde
282,Europa,Geschäftskunde,,,2,21,Geschäftskunde
283,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
284,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
285,Europa,Privatkunde,,,4,23,Privatkunde
286,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
287,Europa,Privatkunde,,,4,23,Privatkunde
288,Europa,Privatkunde,,,3,23,Privatkunde
289,Europa,Geschäftskunde,,,1,21,Geschäftskunde
290,Afrika,Geschäftskunde,,,11,23,Privatkunde
291,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
292,Europa,Geschäftskunde,,,1,21,Geschäftskunde
293,Europa,Geschäftskunde,,,6,21,Geschäftskunde
294,Asien,Geschäftskunde,,,12,22,Geschäftskunde
295,Asien,Geschäftskunde,,,13,21,Geschäftskunde
296,Europa,Geschäftskunde,,,5,21,Geschäftskunde
297,Europa,Privatkunde,,,3,23,Privatkunde
298,Asien,Geschäftskunde,,,13,22,Geschäftskunde
299,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
300,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
301,Europa,Geschäftskunde,,,6,21,Geschäftskunde
302,Asien,Geschäftskunde,,,12,23,Privatkunde
303,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
304,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
305,Europa,Geschäftskunde,,,1,21,Geschäftskunde
306,Europa,Geschäftskunde,,,3,22,Geschäftskunde
307,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
308,Europa,Geschäftskunde,,,2,22,Geschäftskunde
309,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
310,Europa,Geschäftskunde,,,3,22,Geschäftskunde
311,Europa,Geschäftskunde,,,2,22,Geschäftskunde
312,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
313,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
314,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
315,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
316,Asien,Geschäftskunde,,,13,22,Geschäftskunde
317,Europa,Geschäftskunde,,,1,22,Geschäftskunde
318,Europa,Geschäftskunde,,,1,22,Geschäftskunde
319,Asien,Geschäftskunde,,,13,22,Geschäftskunde
320,Europa,Privatkunde,,,2,23,Privatkunde
321,Asien,Geschäftskunde,,,13,21,Geschäftskunde
322,Europa,Geschäftskunde,,,3,22,Geschäftskunde
323,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
324,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
325,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
326,Europa,Privatkunde,,,1,23,Privatkunde
327,Europa,Geschäftskunde,,,1,22,Geschäftskunde
328,Europa,Geschäftskunde,,,2,22,Geschäftskunde
329,Nordamerika,Geschäftskunde,,,9,23,Privatkunde
330,Asien,Geschäftskunde,,,13,22,Geschäftskunde
331,Europa,Geschäftskunde,,,2,22,Geschäftskunde
332,Nordamerika,Geschäftskunde,,,7,23,Privatkunde
333,Europa,Privatkunde,,,5,23,Privatkunde
334,Europa,Privatkunde,,,1,23,Privatkunde
335,Europa,Geschäftskunde,,,1,21,Geschäftskunde
336,Europa,Privatkunde,,,1,23,Privatkunde
337,Europa,Geschäftskunde,,,1,21,Geschäftskunde
338,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
339,Asien,Geschäftskunde,,,12,22,Geschäftskunde
340,Asien,Geschäftskunde,,,12,21,Geschäftskunde
341,Europa,Privatkunde,,,3,23,Privatkunde
342,Europa,Geschäftskunde,,,1,22,Geschäftskunde
343,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
344,Asien,Geschäftskunde,,,12,23,Privatkunde
345,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
346,Europa,Geschäftskunde,,,6,21,Geschäftskunde
347,Europa,Geschäftskunde,,,4,21,Geschäftskunde
348,Afrika,Geschäftskunde,,,11,23,Privatkunde
349,Europa,Privatkunde,,,2,23,Privatkunde
350,Europa,Geschäftskunde,,,3,22,Geschäftskunde
351,Asien,Geschäftskunde,,,12,23,Privatkunde
352,Afrika,Geschäftskunde,,,11,21,Geschäftskunde
353,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
354,Europa,Geschäftskunde,,,3,22,Geschäftskunde
355,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
356,Europa,Geschäftskunde,,,6,22,Geschäftskunde
357,Asien,Geschäftskunde,,,12,21,Geschäftskunde
358,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
359,Europa,Privatkunde,,,6,23,Privatkunde
360,Europa,Geschäftskunde,,,4,22,Geschäftskunde
361,Europa,Privatkunde,,,5,23,Privatkunde
362,Europa,Geschäftskunde,,,6,21,Geschäftskunde
363,Europa,Privatkunde,,,5,23,Privatkunde
364,Europa,Privatkunde,,,5,23,Privatkunde
365,Europa,Geschäftskunde,,,3,21,Geschäftskunde
366,Europa,Privatkunde,,,3,23,Privatkunde
367,Europa,Privatkunde,,,5,23,Privatkunde
368,Europa,Geschäftskunde,,,3,21,Geschäftskunde
369,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
370,Nordamerika,Geschäftskunde,,,9,23,Privatkunde
371,Europa,Privatkunde,,,4,23,Privatkunde
372,Europa,Geschäftskunde,,,5,21,Geschäftskunde
373,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
374,Europa,Geschäftskunde,,,2,21,Geschäftskunde
375,Europa,Privatkunde,,,6,23,Privatkunde
376,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
377,Europa,Geschäftskunde,,,6,22,Geschäftskunde
378,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
379,Europa,Geschäftskunde,,,1,22,Geschäftskunde
380,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
381,Europa,Geschäftskunde,,,3,21,Geschäftskunde
382,Europa,Geschäftskunde,,,1,21,Geschäftskunde
383,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
384,Europa,Geschäftskunde,,,1,22,Geschäftskunde
385,Europa,Geschäftskunde,,,6,22,Geschäftskunde
386,Europa,Privatkunde,,,5,23,Privatkunde
387,Europa,Geschäftskunde,,,6,22,Geschäftskunde
388,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
389,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
390,Nordamerika,Geschäftskunde,,,8,23,Privatkunde
391,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
392,Europa,Geschäftskunde,,,6,21,Geschäftskunde
393,Europa,Geschäftskunde,,,6,22,Geschäftskunde
394,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
395,Europa,Geschäftskunde,,,4,21,Geschäftskunde
396,Europa,Privatkunde,,,6,23,Privatkunde
397,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
398,Europa,Privatkunde,,,2,23,Privatkunde
399,Europa,Geschäftskunde,,,6,21,Geschäftskunde
400,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
401,Europa,Geschäftskunde,,,5,21,Geschäftskunde
402,Nordamerika,Geschäftskunde,,,7,22,Geschäftskunde
403,Europa,Geschäftskunde,,,4,22,Geschäftskunde
404,Europa,Privatkunde,,,3,23,Privatkunde
405,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
406,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
407,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
408,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
409,Lateinamerika,Geschäftskunde,,,10,22,Geschäftskunde
410,Europa,Geschäftskunde,,,4,22,Geschäftskunde
411,Asien,Geschäftskunde,,,12,23,Privatkunde
412,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
413,Asien,Geschäftskunde,,,13,21,Geschäftskunde
414,Asien,Geschäftskunde,,,13,21,Geschäftskunde
415,Europa,Geschäftskunde,,,3,21,Geschäftskunde
416,Europa,Geschäftskunde,,,6,22,Geschäftskunde
417,Europa,Geschäftskunde,,,1,21,Geschäftskunde
418,Europa,Privatkunde,,,4,23,Privatkunde
419,Asien,Geschäftskunde,,,13,23,Privatkunde
420,Nordamerika,Geschäftskunde,,,9,22,Geschäftskunde
421,Afrika,Geschäftskunde,,,11,23,Privatkunde
422,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
423,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
424,Europa,Privatkunde,,,2,23,Privatkunde
425,Lateinamerika,Geschäftskunde,,,10,23,Privatkunde
426,Asien,Geschäftskunde,,,12,21,Geschäftskunde
427,Europa,Geschäftskunde,,,6,21,Geschäftskunde
428,Europa,Geschäftskunde,,,2,22,Geschäftskunde
429,Europa,Privatkunde,,,1,23,Privatkunde
430,Europa,Privatkunde,,,2,23,Privatkunde
431,Europa,Geschäftskunde,,,5,22,Geschäftskunde
432,Europa,Geschäftskunde,,,6,22,Geschäftskunde
433,Europa,Privatkunde,,,5,23,Privatkunde
434,Asien,Geschäftskunde,,,13,21,Geschäftskunde
435,Europa,Privatkunde,,,6,23,Privatkunde
436,Europa,Privatkunde,,,5,23,Privatkunde
437,Asien,Geschäftskunde,,,13,21,Geschäftskunde
438,Asien,Geschäftskunde,,,12,21,Geschäftskunde
439,Afrika,Geschäftskunde,,,11,22,Geschäftskunde
440,Europa,Privatkunde,,,1,23,Privatkunde
441,Europa,Geschäftskunde,,,4,22,Geschäftskunde
442,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
443,Asien,Geschäftskunde,,,13,21,Geschäftskunde
444,Europa,Geschäftskunde,,,3,22,Geschäftskunde
445,Europa,Geschäftskunde,,,5,22,Geschäftskunde
446,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
447,Europa,Geschäftskunde,,,5,21,Geschäftskunde
448,Asien,Geschäftskunde,,,12,23,Privatkunde
449,Nordamerika,Geschäftskunde,,,8,22,Geschäftskunde
450,Europa,Geschäftskunde,,,5,21,Geschäftskunde
451,Nordamerika,Geschäftskunde,,,8,21,Geschäftskunde
452,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
453,Europa,Privatkunde,,,4,23,Privatkunde
454,Europa,Geschäftskunde,,,5,21,Geschäftskunde
455,Nordamerika,Geschäftskunde,,,7,21,Geschäftskunde
456,Europa,Privatkunde,,,4,23,Privatkunde
457,Asien,Geschäftskunde,,,13,23,Privatkunde
458,Europa,Privatkunde,,,4,23,Privatkunde
459,Nordamerika,Geschäftskunde,,,9,21,Geschäftskunde
460,Europa,Geschäftskunde,,,1,22,Geschäftskunde
461,Europa,Privatkunde,,,3,23,Privatkunde
462,Lateinamerika,Geschäftskunde,,,10,21,Geschäftskunde
